Team,Year,Season,Sport,Event,Medal
Netherlands,1948,Summer,Hockey,Hockey Men's Hockey,Bronze
Sweden,1924,Summer,Football,Football Men's Football,Bronze
Belgium,1920,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
France,1972,Summer,Judo,Judo Men's Open Class,Bronze
Australia,1996,Summer,Basketball,Basketball Women's Basketball,Bronze
Australia,2000,Summer,Basketball,Basketball Women's Basketball,Silver
Australia,2004,Summer,Basketball,Basketball Women's Basketball,Silver
Poland,1992,Summer,Rowing,Rowing Men's Single Sculls,Bronze
Poland,1928,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
East Germany,1980,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Great Britain,1976,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
Canada,1956,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
United States,1924,Summer,Athletics,Athletics Men's Pole Vault,Bronze
Great Britain,1988,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
United States,2008,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Great Britain,1908,Summer,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
United States,1952,Summer,Boxing,Boxing Men's Flyweight,Gold
Australia,1980,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Australia,1984,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Australia,1984,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Australia,2004,Summer,Hockey,Hockey Men's Hockey,Gold
Australia,2008,Summer,Hockey,Hockey Men's Hockey,Bronze
Great Britain,1908,Summer,Archery,Archery Men's Double York Round,Silver
Canada,1936,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Great Britain,1960,Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Great Britain,1968,Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Great Britain-1,1924,Winter,Bobsleigh,Bobsleigh Men's Four/Five,Silver
Netherlands,1924,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
France,1912,Summer,Tennis,Tennis Women's Singles,Gold
France,1912,Summer,Tennis,Tennis Mixed Doubles,Bronze
Germany,2012,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Germany,2016,Summer,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Germany,2016,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Berliner Ruderverein von 1876-2,1912,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
France,1920,Summer,Art Competitions,Art Competitions Mixed Painting,Silver
Canada,1992,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
United States,1980,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Australia,1968,Summer,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Great Britain,1908,Summer,Racquets,Racquets Men's Singles,Bronze
New Zealand,2016,Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver
France,1980,Summer,Fencing,"Fencing Women's Foil, Team",Gold
France,1984,Summer,Fencing,"Fencing Women's Foil, Team",Bronze
Netherlands-1,2016,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
Netherlands,2004,Summer,Hockey,Hockey Men's Hockey,Silver
Netherlands,1952,Summer,Athletics,Athletics Women's 200 metres,Silver
Netherlands,2004,Summer,Hockey,Hockey Men's Hockey,Silver
Norway,2008,Summer,Shooting,Shooting Men's Skeet,Silver
Canada,2016,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
United States,1984,Summer,Athletics,Athletics Women's 100 metres,Silver
United States,1984,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
United States,1988,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Great Britain,1936,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
United States,1976,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
United States,1976,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
United States,1972,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
United States,1904,Summer,Roque,Roque Men's Singles,Bronze
United States,1964,Summer,Boxing,Boxing Men's Featherweight,Bronze
Bahamas,2000,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Bahamas,2008,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Bahamas,2012,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Bahamas,2016,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
United States,1988,Summer,Basketball,Basketball Women's Basketball,Gold
United States,1948,Summer,Rowing,Rowing Men's Coxed Eights,Gold
United States,2010,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
United States,1960,Summer,Athletics,Athletics Women's Shot Put,Bronze
Great Britain,1936,Summer,Athletics,Athletics Men's 400 metres,Silver
Great Britain,1936,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Australia,2004,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Australia,2004,Summer,Cycling,Cycling Men's Madison,Gold
United States,1920,Summer,Athletics,"Athletics Men's 3,000 metres, Team",Gold
Ireland-2,1908,Summer,Hockey,Hockey Men's Hockey,Silver
Australia,1976,Summer,Sailing,Sailing Mixed Two Person Dinghy,Bronze
United States-1,1936,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
United States,2014,Winter,Figure Skating,Figure Skating Mixed Team,Bronze
Canada,2012,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Australia,1996,Summer,Softball,Softball Women's Softball,Bronze
Australia,2000,Summer,Softball,Softball Women's Softball,Bronze
United States,1984,Summer,Athletics,Athletics Women's 400 metres Hurdles,Silver
Great Britain,1992,Summer,Hockey,Hockey Women's Hockey,Bronze
Great Britain,1984,Summer,Judo,Judo Men's Lightweight,Bronze
Australia,2008,Summer,Hockey,Hockey Men's Hockey,Bronze
South Africa,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
United States,1964,Summer,Basketball,Basketball Men's Basketball,Gold
Canada-1,2006,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
Canada-1,2010,Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
Canada,2016,Summer,Cycling,Cycling Women's Team Pursuit,Bronze
United States,1924,Summer,Athletics,Athletics Men's High Jump,Silver
United States,2008,Summer,Baseball,Baseball Men's Baseball,Bronze
Great Britain,1984,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
United States,1984,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Canada-2,2010,Winter,Bobsleigh,Bobsleigh Women's Two,Silver
United States,1920,Summer,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Silver
United States,1920,Summer,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze
Australia,2012,Summer,Water Polo,Water Polo Women's Water Polo,Bronze
Australia,1956,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze
United States,1998,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
United States,2008,Summer,Athletics,Athletics Women's Discus Throw,Gold
Australia,1956,Summer,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Great Britain-2,1908,Summer,Racquets,Racquets Men's Doubles,Silver
Australia,1976,Summer,Hockey,Hockey Men's Hockey,Silver
United States,1952,Summer,Diving,Diving Men's Springboard,Gold
Union des Socits Franais de Sports Athletiques,1900,Summer,Cricket,Cricket Men's Cricket,Silver
Great Britain,2012,Summer,Triathlon,Triathlon Men's Olympic Distance,Gold
Great Britain,2016,Summer,Triathlon,Triathlon Men's Olympic Distance,Gold
Great Britain,2012,Summer,Triathlon,Triathlon Men's Olympic Distance,Bronze
Great Britain,2016,Summer,Triathlon,Triathlon Men's Olympic Distance,Silver
Yugoslavia,1948,Summer,Football,Football Men's Football,Silver
Belgium,1948,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
Australia,1948,Summer,Athletics,Athletics Men's Long Jump,Silver
Great Britain,1924,Winter,Alpinism,Alpinism Mixed Alpinism,Gold
Great Britain,1924,Winter,Alpinism,Alpinism Mixed Alpinism,Gold
United States,1972,Summer,Swimming,Swimming Men's 100 metres Breaststroke,Silver
United States,1972,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
United States,1992,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
East Germany,1972,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Sweden,1972,Summer,Athletics,Athletics Men's Discus Throw,Bronze
East Germany,1976,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
East Germany,1976,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
East Germany,1980,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
East Germany,1980,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Gold
East Germany,1980,Summer,Gymnastics,Gymnastics Men's Horse Vault,Bronze
East Germany,1980,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
East Germany,1988,Summer,Rowing,Rowing Men's Coxless Fours,Gold
Germany,1992,Summer,Rowing,Rowing Men's Coxed Fours,Silver
Switzerland,1920,Summer,Rowing,Rowing Men's Coxed Fours,Gold
Royal Club Nautique de Gand,1900,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Italy-1,1994,Winter,Luge,Luge Mixed (Men)'s Doubles,Gold
Switzerland,1972,Winter,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
Italy,2004,Summer,Athletics,Athletics Men's 20 kilometres Walk,Gold
France-1,1924,Summer,Tennis,Tennis Men's Doubles,Silver
Spain,1996,Summer,Tennis,Tennis Men's Singles,Silver
Roddklubben af 1912-1,1912,Summer,Rowing,"Rowing Men's Coxed Fours, Inriggers",Silver
France,1920,Summer,Archery,"Archery Men's Target Archery, 33 metres, Individual",Silver
France,1920,Summer,Archery,"Archery Men's Target Archery, 50 metres, Individual",Gold
France,1920,Summer,Archery,"Archery Men's Target Archery, 28 metres, Team",Bronze
France,1920,Summer,Archery,"Archery Men's Target Archery, 33 metres, Team",Silver
France,1920,Summer,Archery,"Archery Men's Target Archery, 50 metres, Team",Silver
Russia,2000,Summer,Judo,Judo Women's Extra-Lightweight,Silver
Soviet Union,1960,Summer,Athletics,Athletics Men's High Jump,Silver
Soviet Union,1964,Summer,Athletics,Athletics Men's High Jump,Gold
Czechoslovakia,1964,Summer,Football,Football Men's Football,Silver
Norway,2016,Summer,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
Bucintoro Venezia-1,1906,Summer,Rowing,Rowing Men's Coxed Pairs (1 kilometres),Gold
Bucintoro Venezia,1906,Summer,Rowing,Rowing Men's Coxed Pairs (1 mile),Gold
Bucintoro Venezia,1906,Summer,Rowing,Rowing Men's Coxed Fours,Gold
Czechoslovakia,1972,Summer,Handball,Handball Men's Handball,Silver
Italy,1980,Summer,Basketball,Basketball Men's Basketball,Silver
United States,2000,Summer,Softball,Softball Women's Softball,Gold
United States,1976,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
United States,1976,Summer,Swimming,Swimming Men's 200 metres Butterfly,Gold
Canada,1996,Summer,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Canada,2000,Summer,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Canada,2004,Summer,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
Argentina,2016,Summer,Hockey,Hockey Men's Hockey,Gold
France,2010,Winter,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
France,2010,Winter,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Silver
France,1932,Summer,Rowing,Rowing Men's Coxed Pairs,Bronze
France-1,1924,Winter,Figure Skating,Figure Skating Mixed Pairs,Bronze
France,1928,Winter,Figure Skating,Figure Skating Mixed Pairs,Gold
France,1932,Winter,Figure Skating,Figure Skating Mixed Pairs,Gold
Italy,1996,Summer,Athletics,"Athletics Women's 5,000 metres",Bronze
France-1,1924,Winter,Figure Skating,Figure Skating Mixed Pairs,Bronze
France,1928,Winter,Figure Skating,Figure Skating Mixed Pairs,Gold
France,1932,Winter,Figure Skating,Figure Skating Mixed Pairs,Gold
Argentina,1924,Summer,Athletics,Athletics Men's Triple Jump,Silver
France,1920,Summer,Rugby,Rugby Men's Rugby,Silver
Italy,1952,Summer,Cycling,"Cycling Men's Road Race, Team",Silver
Italy,2016,Summer,Swimming,Swimming Women's 10 kilometres Open Water,Silver
Brazil,2008,Summer,Volleyball,Volleyball Men's Volleyball,Silver
Brazil,2012,Summer,Volleyball,Volleyball Men's Volleyball,Silver
Brazil,2016,Summer,Volleyball,Volleyball Men's Volleyball,Gold
Roddklubben af 1912-1,1912,Summer,Rowing,"Rowing Men's Coxed Fours, Inriggers",Silver
Austria,1936,Summer,Handball,Handball Men's Handball,Silver
Germany,1928,Summer,Hockey,Hockey Men's Hockey,Bronze
Italy-1,1980,Winter,Luge,Luge Mixed (Men)'s Doubles,Silver
Austria-2,1928,Winter,Figure Skating,Figure Skating Mixed Pairs,Bronze
Germany,1960,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Germany,1960,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Italy,1984,Summer,Boxing,Boxing Men's Welterweight,Bronze
France,1932,Summer,Rowing,Rowing Men's Coxed Pairs,Bronze
Italy,1936,Summer,Fencing,"Fencing Men's epee, Team",Gold
Russia,2000,Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
Russia,2000,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Russia,2004,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Italy,1900,Summer,Cycling,Cycling Men's Points Race,Gold
Norway,1936,Summer,Football,Football Men's Football,Bronze
Norway,1912,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
Norway,1960,Winter,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Gold
Norway,1960,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
Edelweiss II-1,1920,Summer,Sailing,Sailing Mixed 6 metres,Gold
United States-1,2008,Summer,Tennis,Tennis Men's Doubles,Bronze
United States-1,2012,Summer,Tennis,Tennis Men's Doubles,Gold
United States-1,2008,Summer,Tennis,Tennis Men's Doubles,Bronze
United States-1,2012,Summer,Tennis,Tennis Mixed Doubles,Bronze
United States-1,2012,Summer,Tennis,Tennis Men's Doubles,Gold
Great Britain,2012,Summer,Judo,Judo Women's Heavyweight,Bronze
United States,2012,Summer,Diving,Diving Women's Synchronized Springboard,Silver
United States,2008,Summer,Basketball,Basketball Men's Basketball,Gold
United States,2012,Summer,Basketball,Basketball Men's Basketball,Gold
United States-2,1932,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
United States,1904,Summer,Archery,Archery Men's Double American Round,Gold
United States,1904,Summer,Archery,Archery Men's Double York Round,Gold
Boston Archers,1904,Summer,Archery,Archery Men's Team Round,Bronze
United States,1976,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Boston Archers,1904,Summer,Archery,Archery Men's Team Round,Bronze
Finland,1984,Summer,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Norna,1928,Summer,Sailing,Sailing Mixed 6 metres,Gold
Norway,1920,Summer,Figure Skating,Figure Skating Mixed Pairs,Silver
Norway,1920,Summer,Figure Skating,Figure Skating Mixed Pairs,Silver
Soviet Union,1976,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
Soviet Union,1988,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Soviet Union,1988,Summer,Athletics,Athletics Women's 400 metres,Gold
Soviet Union,1988,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Unified Team,1992,Summer,Athletics,Athletics Women's 400 metres,Silver
Unified Team,1992,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Ukraine,2012,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Czechoslovakia,1936,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Czechoslovakia,1948,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Czechoslovakia,1952,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Poland,1992,Summer,Football,Football Men's Football,Silver
Canada,2012,Summer,Rowing,Rowing Women's Coxed Eights,Silver
Poland,1976,Summer,Handball,Handball Men's Handball,Bronze
Denmark,2000,Summer,Handball,Handball Women's Handball,Gold
Denmark,2004,Summer,Handball,Handball Women's Handball,Gold
Serbia and Montenegro,1996,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
Norway,2006,Winter,Snowboarding,Snowboarding Women's Halfpipe,Bronze
Great Britain,2016,Summer,Boxing,Boxing Men's Light-Heavyweight,Bronze
Latvia,1936,Summer,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Soviet Union,1988,Summer,Athletics,Athletics Men's Pole Vault,Gold
Czechoslovakia,1976,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Czechoslovakia,1948,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Czechoslovakia,1964,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
United States,1984,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
United States,1984,Summer,Sailing,Sailing Mixed Two Person Keelboat,Gold
South Africa,1920,Summer,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Silver
Australia,1984,Summer,Swimming,Swimming Men's 100 metres Butterfly,Bronze
Australia,1984,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Hera-1,1908,Summer,Sailing,Sailing Mixed 12 metres,Gold
Canada,2016,Summer,Football,Football Women's Football,Bronze
Australia,1988,Summer,Hockey,Hockey Women's Hockey,Gold
France,1924,Summer,Fencing,"Fencing Men's epee, Team",Gold
France,1928,Summer,Fencing,"Fencing Men's epee, Individual",Silver
France,1928,Summer,Fencing,"Fencing Men's epee, Team",Silver
France,1932,Summer,Fencing,"Fencing Men's epee, Individual",Silver
France,1932,Summer,Fencing,"Fencing Men's epee, Team",Gold
France,1936,Summer,Fencing,"Fencing Men's epee, Team",Bronze
France,1920,Summer,Fencing,"Fencing Men's epee, Individual",Bronze
France,1920,Summer,Fencing,"Fencing Men's epee, Team",Bronze
Switzerland,1928,Summer,Rowing,Rowing Men's Coxed Fours,Silver
East Germany,1972,Summer,Shooting,Shooting Mixed Skeet,Bronze
Netherlands,2016,Summer,Cycling,Cycling Men's Keirin,Silver
